,County0,MICH-01_2011-2015,MICH-01_2012-2016,MICH-01_2013-2017,MICH-01_2014-2018,MICH-01_2015-2019,MICH-01_MetGoal,MICH-02_2011-2015,MICH-02_2012-2016,MICH-02_2013-2017,MICH-02_2014-2018,MICH-02_2015-2019,MICH-02_MetGoal,MICH-03_2011-2015,MICH-03_2012-2016,MICH-03_2013-2017,MICH-03_2014-2018,MICH-03_2015-2019,MICH-03_MetGoal,MICH-06_2011-2015,MICH-06_2012-2016,MICH-06_2013-2017,MICH-06_2014-2018,MICH-06_2015-2019,MICH-06_MetGoal,MICH-07_2011-2015,MICH-07_2012-2016,MICH-07_2013-2017,MICH-07_2014-2018,MICH-07_2015-2019,MICH-07_MetGoal,MICH-08_2011-2015,MICH-08_2012-2016,MICH-08_2013-2017,MICH-08_2014-2018,MICH-08_2015-2019,MICH-08_MetGoal,MICH-10_2011-2015,MICH-10_2012-2016,MICH-10_2013-2017,MICH-10_2014-2018,MICH-10_2015-2019,MICH-10_MetGoal,MICH-13_2011-2015,MICH-13_2012-2016,MICH-13_2013-2017,MICH-13_2014-2018,MICH-13_2015-2019,MICH-13_MetGoal
0,Pennsylvania,6.1,6.1,5.9,5.9,5.9,No,6.5,6.4,6.2,6.1,6.0,No,23.4,23.2,23.2,23.5,24.3,No,25.7,25.8,26.9,26.4,26.4,No,9.4,9.4,9.4,9.4,9.6,No,69.8,73.0,73.1,73.8,74.7,No,85.9,86.7,87.4,88.2,89.0,No,44.4,43.6,42.8,42.0,39.9,No
1,Adams,4.8,5.3,4.4,6.0,5.9,No,3.8,3.7,4.8,5.7,4.7,Yes,24.3,16.1,13.0,14.2,15.4,Yes,20.4,25.5,24.2,28.3,23.8,No,9.3,9.6,9.9,9.4,9.4,Yes,81.6,81.1,81.3,84.2,83.4,Yes,84.9,85.2,85.8,87.0,87.7,No,44.5,41.4,42.6,40.7,36.8,No
2,Allegheny,5.6,5.7,5.4,5.4,5.5,Yes,6.1,6.1,6.1,5.9,6.0,No,23.7,24.3,25.1,26.4,27.4,No,26.9,27.2,28.3,27.4,28.5,No,9.3,9.3,9.5,9.7,9.9,No,83.4,86.8,86.4,85.3,87.2,Yes,87.3,88.3,89.0,89.8,90.8,No,31.7,29.4,32.5,32.7,24.7,No
3,Armstrong,4.9,5.6,6.4,6.9,7.9,No,4.6,5.7,5.8,4.3,6.3,No,29.8,32.0,34.4,36.7,31.8,No,24.3,28.6,35.4,34.4,28.9,No,8.5,8.0,8.7,8.9,9.7,No,77.1,78.8,73.9,82.3,82.4,Yes,74.9,75.9,76.9,78.1,79.6,No,36.6,34.2,35.6,32.0,30.6,No
4,Beaver,7.6,7.3,6.9,7.3,6.4,No,7.2,6.8,6.6,6.4,7.2,No,24.3,25.3,25.6,25.9,21.8,No,30.1,31.4,33.7,33.5,32.8,No,9.4,9.2,9.2,8.7,8.8,Yes,77.9,78.0,81.2,78.9,82.3,Yes,79.1,79.9,80.9,82.5,83.5,No,41.2,41.8,37.4,39.2,33.8,No
5,Bedford,7.1,7.5,6.7,5.9,6.0,No,6.8,5.5,6.4,4.3,5.1,No,32.2,28.0,26.2,31.5,29.7,No,23.6,25.2,24.0,22.6,22.3,Yes,5.4,5.8,5.9,8.4,8.5,Yes,76.3,77.8,81.7,77.2,78.8,No,78.7,79.1,80.0,81.5,83.3,No,47.2,43.3,45.4,39.3,42.9,No
6,Berks,6.2,6.5,5.6,5.2,5.5,Yes,6.5,6.3,6.5,6.4,6.6,No,22.9,20.9,20.3,21.8,23.3,No,26.1,22.2,23.9,25.0,24.6,No,8.8,9.1,9.4,9.7,10.0,No,82.0,86.0,86.2,85.7,86.4,Yes,88.6,89.4,90.2,90.8,91.6,No,44.7,43.8,42.5,41.2,40.0,No
7,Blair,6.8,6.7,6.4,5.6,5.1,Yes,6.6,7.1,7.1,7.1,6.3,No,16.0,16.1,18.1,26.3,27.4,No,21.4,24.6,25.5,20.3,27.5,No,8.5,8.2,7.6,8.2,8.2,Yes,74.5,77.9,82.2,82.2,84.1,Yes,75.8,77.3,78.7,79.1,80.4,No,45.2,42.7,44.5,44.3,37.1,No
8,Bradford,6.1,7.5,8.6,7.7,7.4,No,5.3,5.1,6.1,4.3,4.8,Yes,34.4,41.8,33.6,32.1,28.7,No,23.3,25.9,23.4,22.0,22.5,Yes,8.1,7.9,8.0,9.2,9.2,Yes,73.6,73.0,75.7,72.8,72.8,No,77.0,78.1,79.6,80.3,81.1,No,40.1,37.6,40.1,39.1,37.2,No
9,Bucks,4.3,4.3,4.4,4.4,3.9,Yes,4.5,3.9,3.2,3.3,3.4,Yes,18.6,18.5,19.9,19.8,19.5,No,31.7,28.8,31.0,28.8,29.2,No,9.0,9.2,9.1,8.9,9.2,Yes,69.8,73.3,75.8,73.8,75.6,No,89.4,90.4,91.1,91.8,92.5,No,51.9,50.3,49.5,49.7,46.3,No
