,county,RaceTotal,population_White,population_Black,population_Native,population_Asian,population_NativeHawaiian_PacificIslander,population_OtherRace,population_Multiracial,population_Multiracial_OtherRace,population_Multiracial_NoOtherRace,PovertyTotal,pop_w_income_below_poverty_level,EmploymentTotal,population_InLaborForce,population_InCivilianLaborForce,CivilianLaborForce_Employed,CivilianLaborForce_Unemployed,population_InArmedForces,population_NotInLaborForce,Estimate!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars),EducationTotal,population_NoSchooling,population_12thGrade_noDiploma,population_HighSchoolDiploma,population_GED,poplation_AssociatesDegree,population_BachelorsDegree,population_MastersDegree,population_ProfessionalDegree,population_DoctorateDegree,FoodStampDisabilityTotal,households_ReceivingFoodStamps,households_ReceivingFoodStamps_w_Disability,households_ReceivingFoodStamps_noDisability,households_noFoodStamps,households_noFoodStamps_w_Disability,households_noFoodStamps_noDisability,TotalHousingUnits,housesOccupied,housesVacant,TotalOccupiedHousingUnits,housesOwnerOccupied,housesRenterOccupied,TotalHousingUnits_YrBuilt,housesBuilt2014_later,housesBuilt_2010_2013,housesBuilt_2000_2009,housesBuilt_1990_1999,housesBuilt_1980_1989,housesBuilt_1970_1979,housesBuilt_1960_1969,housesBuilt_1950_1959,housesBuilt_1940_1949,housesBuilt_pre_1940,TotalOwnerOccupiedHousingUnits,homeValue_less10K,homeValue_10K-15K,homeValue_15K-20K,homeValue_20K-25K,homeValue_25K-30K,homeValue_30K-35K,homeValue_35K-40K,homeValue_40K-50K,homeValue_50K-60K,homeValue_60K-70K,homeValue_70K-80K,homeValue_80K-90K,homeValue_90K-100K,homeValue_100K-125K,homeValue_125K-150K,homeValue_150K-175K,homeValue_175K-200K,homeValue_200K-250K,homeValue_250K-300K,homevalue_300K-400K,homeValue_400K-500K,homeValue_500K-750K,homeValue_750K-1M,homeValue_1M-1.5M,homeValue_1.5M-2M,homeValue_more2M,AgeTotal,age_under5,age_5_9,age_10_14,age_15_17,age_18_19,age_20,age_21,age_22_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_61,age_62_64,age_65_66,age_67_69,age_70_74,age_75_79,age_80_84,age_85+,ADI_NATRANK_INT_count,ADI_NATRANK_INT_mean,ADI_NATRANK_INT_std,ADI_NATRANK_INT_min,ADI_NATRANK_INT_25%,ADI_NATRANK_INT_50%,ADI_NATRANK_INT_75%,ADI_NATRANK_INT_max,ADI_STATERNK_INT_count,ADI_STATERNK_INT_mean,ADI_STATERNK_INT_std,ADI_STATERNK_INT_min,ADI_STATERNK_INT_25%,ADI_STATERNK_INT_50%,ADI_STATERNK_INT_75%,ADI_STATERNK_INT_max,ADI_SUP_GQ,ADI_SUP_PH,ADI_SUP_PH-GQ
0,Adams County,102627,0.9280014031395247,0.01591199197092383,0.001500579769456381,0.007054673721340388,0.0,0.02242100032155281,0.025110351077201908,0.006499264326151988,0.01861108675104992,98458,7822,84387,0.630962115017716,0.6304288575254482,0.6061478663775226,0.02428099114792563,0.0005332574922677664,0.369037884982284,32981.970588235294,72331,0.012774605632439756,0.016300064979054625,0.3463383611452904,0.0489831469217901,0.08915955814242855,0.12809168959367354,0.07404847160968327,0.0108252339937233,0.012981985594005336,1.0,2921.0,1562.0,1359.0,36707.0,9273.0,27434.0,42525,0.931875367430923,0.06812463256907701,39628,0.778489956596346,0.221510043403654,42525,0.02598471487360376,0.021963550852439742,0.13994121105232216,0.15437977660199884,0.13688418577307465,0.1301116990005879,0.07275720164609054,0.07842445620223398,0.04044679600235156,0.19910640799529689,30850,0.00826580226904376,0.006158833063209076,0.0070016207455429495,0.005153970826580227,0.003371150729335494,0.008589951377633711,0.002884927066450567,0.006839546191247974,0.010048622366288493,0.006807131280388979,0.00920583468395462,0.013711507293354944,0.009173419773095624,0.04479740680713128,0.07416531604538087,0.13030794165316045,0.10632090761750405,0.19157212317666125,0.13559157212317666,0.1260291734197731,0.04940032414910859,0.030502431118314424,0.008914100486223663,0.003306320907617504,0.0018152350081037277,6.482982171799028e-05,102627,0.04961657263683046,0.05455679304666413,0.06051039200210471,0.03665702008243445,0.029163865259629534,0.014888869400839935,0.014693988911300145,0.03511746421507011,0.054868601829927796,0.05308544535063872,0.05423524023892348,0.050970992039132,0.06553830863223128,0.07270016662281856,0.07433716273495279,0.029573114287663092,0.04599179553139038,0.03186296003975562,0.0374462860650706,0.049148859461934966,0.03598468239352217,0.023833883870716284,0.02521753534644879,43.0,45.48837209302326,9.733036752713865,30.0,38.5,44.0,50.5,65.0,43.0,3.627906976744186,1.2728531096555056,2.0,3.0,3.0,4.0,6.0,2.0,0.0,0.0
1,Allegheny County,1218380,0.7903371690277253,0.12995699207143913,0.0011794349874423415,0.03923242338186773,0.000421050903658957,0.00820844071636107,0.03066448891150544,0.005123196375515028,0.025541292535990412,1186569,134076,1015608,0.6503335932761459,0.6494188702727824,0.617870280659467,0.03154858961331537,0.0009147230033635025,0.3496664067238541,38642.74403056352,883487,0.007335704996225185,0.009935630065864013,0.2309700086135959,0.032847116030003835,0.09873037181079065,0.24701778294417462,0.12127399724048005,0.03220647276077633,0.024451972694561435,1.0,65350.0,34095.0,31255.0,480345.0,101006.0,379339.0,602416,0.9058441342859419,0.09415586571405805,545695,0.642838948496871,0.35716105150312905,602416,0.01898189955114074,0.012783525005975937,0.04747715864120475,0.05780390959071472,0.0720548591006879,0.1057574832009774,0.12213487025577009,0.18238559400812726,0.09356989190194151,0.2870508087434597,350794,0.008797185812756205,0.006020627490778064,0.006071939656892649,0.007839358711950604,0.006878680935249747,0.00860333985187888,0.009167773679139323,0.021032286755189655,0.027785537951048194,0.033974355319646286,0.04200470931657896,0.04541696836319892,0.040932855179963167,0.09736768587832174,0.08930027309475076,0.10517568715542455,0.0705627804352412,0.10788382925591658,0.07745286407407197,0.09100212660421786,0.04097276464249674,0.036941908926606495,0.010903835299349476,0.004854701049618865,0.00139398051277958,0.0016619440469335279,1218380,0.05252958846993549,0.04931138068582872,0.05347100247870123,0.032064708875720216,0.025789983420607693,0.011868218454012706,0.012703754165367127,0.03712881038756381,0.07747336627324808,0.07605180649715196,0.062176824964296856,0.05613437515389287,0.057738964854971354,0.06265861225561811,0.07155156847617328,0.03023769267387843,0.04172261527602226,0.02621103432426665,0.03564158965183276,0.04330258211723764,0.03172819645759123,0.022149083208851096,0.03035424087723042,956.0,62.36506276150627,24.54941790496257,2.0,43.0,65.0,83.0,100.0,956.0,5.867154811715481,2.9022700378956587,1.0,3.0,6.0,8.0,10.0,7.0,13.0,0.0
2,Armstrong County,65356,0.9733000795642328,0.008660260725870617,0.0002448130240528796,0.0030754636146643,0.0,0.0013311708182875328,0.013388212252891853,0.0035344880347634496,0.009853724218128404,64654,7238,54444,0.5806884137829696,0.5802843288516641,0.5484167217691573,0.0318676070825068,0.00040408493130556167,0.41931158621703035,28581.848484848484,48368,0.006843367515712868,0.009572444591465432,0.4372519020840225,0.05454019186238836,0.10031425736023818,0.12390423420443268,0.041577075752563676,0.010544161429043996,0.00506533245120741,1.0,4224.0,2328.0,1896.0,23811.0,6952.0,16859.0,32852,0.853372701814197,0.146627298185803,28035,0.7777777777777778,0.2222222222222222,32852,0.009740655059052722,0.012114939729696822,0.06520150980153415,0.08288688664312675,0.08702666504322416,0.1371301595032266,0.09299281626689394,0.14038719103859734,0.07655546085474248,0.295963716059905,21805,0.015959642283879843,0.005916074294886494,0.010914927768860353,0.014216922724145839,0.010089429030038982,0.014492088970419629,0.013437285026370099,0.04705342811281816,0.05769318963540472,0.058426966292134834,0.07158908507223113,0.07736757624398073,0.051135060765879384,0.10392111900940151,0.07622105021783994,0.0995643201100665,0.05237330887411144,0.08686081174042651,0.05682182985553772,0.04035771612015593,0.01664755789956432,0.012565925246503096,0.002751662462737904,0.0020637468470534283,0.0,0.001559275395551479,65356,0.047432523410245425,0.05667421506824163,0.05378236122161699,0.03361588836526103,0.018682293898035374,0.00919578921598629,0.010205642940204419,0.030341514168553768,0.053828263663626905,0.05338454005753106,0.05049268621090642,0.05959667054287288,0.06599241079625436,0.07087337046330865,0.07460676908011506,0.03852744966032193,0.05096701144500888,0.029377562886345552,0.043959238631495194,0.05127302772507497,0.03560499418569068,0.03252953057102638,0.02905624579227615,66.0,75.87878787878788,13.377955634912869,41.0,68.0,77.5,84.75,100.0,66.0,7.484848484848484,1.711880875100874,3.0,7.0,8.0,9.0,10.0,0.0,0.0,0.0
3,Beaver County,164781,0.8972939841365206,0.05928474763473944,0.0009102991242922425,0.0046061135689187465,0.00030950170225936243,0.003847530965341878,0.03374782286792773,0.006384231191702927,0.02736359167622481,162195,15910,136682,0.6156845817298547,0.6149383239929178,0.5838515678728728,0.031086756120045068,0.0007462577369368315,0.3843154182701453,31901.56204379562,120924,0.004887367272005557,0.011354239026165195,0.3242780589461149,0.040107836326949156,0.12195263140484933,0.1733320101882174,0.06657073864576098,0.008823723991928815,0.006723231120373127,1.0,9530.0,5222.0,4308.0,62556.0,16138.0,46418.0,79587,0.9057509392237426,0.09424906077625743,72086,0.7296562439308604,0.27034375606913963,79587,0.010768090265998216,0.015944815107995024,0.058376367999798964,0.07042607461017503,0.06225891163129657,0.12159020945631824,0.11797152801336902,0.18298214532524157,0.11238016258936762,0.24730169500043978,52598,0.01629339518612875,0.009163846534088749,0.006464124111182934,0.007129548652040001,0.011711471919084376,0.005209323548423894,0.006920415224913495,0.02705426061827446,0.026312787558462298,0.036180082892885664,0.05304384197117761,0.05441271531236929,0.05230236891136545,0.09620137647819309,0.09679075250009506,0.126069432297806,0.07810182896688087,0.10112551808053538,0.07475569413285676,0.07184683828282444,0.02005779687440587,0.01846077797634891,0.0010836913951100802,0.0007985094490284802,0.00026616981634282674,0.0022434313091752537,164781,0.05028492362590347,0.05491531183813668,0.054545123527591166,0.033935951353614796,0.018764299282077426,0.008314065335202481,0.011111717977193973,0.03428186502084585,0.059569974693684344,0.05803460350404476,0.06418822558426032,0.050169619070159786,0.05922406102645329,0.06886109442229384,0.07955407480231337,0.03278897445700657,0.04692288552685079,0.0269145107749073,0.04179486712667116,0.0506186999714773,0.03700062507206535,0.02775805463008478,0.0304464713771612,122.0,69.68852459016394,18.72466088018426,31.0,54.0,71.5,85.0,100.0,122.0,6.663934426229508,2.3092006263758527,2.0,5.0,7.0,9.0,10.0,1.0,0.0,0.0
4,Bedford County,48154,0.9733770818623583,0.010321053287369689,0.0012875358225692569,0.0023881712837978152,0.0,0.0013498359430161564,0.011276321800888814,0.003738007226813972,0.007538314574074843,47447,5297,40064,0.5776757188498403,0.5775758785942492,0.5517921325878594,0.025783746006389777,9.984025559105431e-05,0.42232428115015974,26743.119047619046,35232,0.006868755676657584,0.014532243415077202,0.44916553133514986,0.04663374205267938,0.09091167120799273,0.09414736603088102,0.052963215258855584,0.008174386920980926,0.003604677565849228,1.0,2313.0,1301.0,1012.0,17617.0,4964.0,12653.0,24405,0.8166359352591682,0.1833640647408318,19930,0.7939789262418465,0.20602107375815354,24405,0.01712763777914362,0.019750051219012497,0.08281089940585945,0.12583486990370826,0.12095881991395206,0.1412415488629379,0.07973775865601311,0.10313460356484327,0.04339274738783036,0.26601106330669944,15824,0.02666835187057634,0.017378665318503538,0.008152173913043478,0.010237613751263903,0.010111223458038422,0.008531344792719919,0.00910010111223458,0.020791203235591506,0.0442366026289181,0.027110717896865522,0.03627401415571284,0.05516936299292215,0.04240394337714864,0.11267694641051568,0.10623104145601618,0.1185540950455005,0.05794994944388271,0.09984833164812942,0.0672396359959555,0.05826592517694641,0.025530839231547017,0.02281344792719919,0.005940343781597573,0.006635490394337715,0.0010743174924165823,0.0010743174924165823,48154,0.04954936246210076,0.055135606595506086,0.05372347053204303,0.03650787058188312,0.019292270631723223,0.010611787182788553,0.010321053287369689,0.03320596419819745,0.05432570502969639,0.04749345848735308,0.052415168002658136,0.053204302861652196,0.06587199401918843,0.07228890642521908,0.0791211529675624,0.031004693275740333,0.04853179382813473,0.029384890144120945,0.0350542011047888,0.057046143622544336,0.04745192507372181,0.027370519583004526,0.031087760103002866,38.0,71.21052631578948,11.48243757607582,48.0,62.0,72.0,80.25,93.0,38.0,6.947368421052632,1.4694615380978129,4.0,6.0,7.0,8.0,10.0,0.0,0.0,0.0
5,Berks County,419062,0.8001202685998731,0.052350248889185845,0.00341476917496695,0.01457540888937675,0.0002410144560948022,0.0663338599061714,0.0629644300843312,0.025390037750977184,0.037574392333354016,406005,47516,336742,0.649618996145417,0.648980525149818,0.6127628867203972,0.036217638429420745,0.0006384709955990045,0.35038100385458304,31917.60070671378,285354,0.014581887760465947,0.019249773964969828,0.32002004527709443,0.04287656735143015,0.0881326352530541,0.16421006889687897,0.07177400702285582,0.013485004590788986,0.009675701059035443,1.0,20474.0,11136.0,9338.0,135915.0,32742.0,103173.0,167514,0.9335876404360233,0.06641235956397674,156389,0.7103376835966724,0.2896623164033276,167514,0.014022708549733157,0.014386857217904175,0.10237353295843929,0.11599627493821411,0.10320331434984538,0.13111739914275822,0.08825531000393996,0.10665974187232112,0.05482526833578089,0.26915959263106365,111089,0.005797153633573081,0.006112216331049879,0.005797153633573081,0.0073184563728181905,0.006436280819883157,0.006139221705119319,0.005004995994202847,0.013943774811187427,0.012638515064497835,0.020713121911260342,0.017589500310561803,0.027059384817578698,0.025916157315305745,0.0721583595135432,0.09725535381540927,0.1252779303081313,0.08897370576744772,0.16286941101279154,0.11975983220660912,0.11005590112432374,0.02833763919019885,0.02263950526154705,0.006112216331049879,0.002862569651360621,0.0013772740775414307,0.0018543690194348676,419062,0.05745450553855993,0.06259932897757373,0.06319828569519546,0.04037588710023815,0.02992635934539519,0.014093379977187147,0.016458185185008422,0.03495902754246388,0.063298509528423,0.060425426309233476,0.05444779054173368,0.06113653826880032,0.06341066477036811,0.06937636912915034,0.07363826832306437,0.02602956125823864,0.03666044642558858,0.0225432036309663,0.03125313199478836,0.04334203530742468,0.02981897666693711,0.020020903828073172,0.025533214655587957,199.0,64.54773869346734,22.70287843655759,22.0,47.0,63.0,87.5,100.0,199.0,6.030150753768845,2.797743585298286,1.0,4.0,6.0,9.0,10.0,2.0,0.0,0.0
6,Blair County,122495,0.9518266051675579,0.018204824686721906,0.0014531205355320625,0.005902281725784726,0.0004408343197681538,0.0020408996285562675,0.020131433936079024,0.004187926037797461,0.015943507898281563,119630,16484,100805,0.5874113387232777,0.5864490848668221,0.5590198898864144,0.027429194980407717,0.000962253856455533,0.4125886612767224,28530.526785714286,88225,0.00793425899688297,0.012309436100878436,0.4029016718617172,0.04023802776990649,0.09011051289317087,0.15148767356191556,0.052558798526494754,0.013680929441768207,0.0049532445451969396,1.0,8596.0,4300.0,4296.0,43051.0,11572.0,31479.0,56960,0.9067240168539326,0.09327598314606741,51647,0.70261583441439,0.29738416558561,56960,0.009375,0.013904494382022473,0.06680126404494383,0.0807935393258427,0.07614115168539326,0.14152036516853933,0.08369030898876405,0.11855688202247192,0.07988061797752809,0.32933637640449437,36288,0.024994488536155202,0.007743606701940035,0.008294753086419753,0.008404982363315697,0.00603505291005291,0.010278880070546738,0.006172839506172839,0.03138778659611993,0.029872134038800704,0.051008597883597885,0.050595238095238096,0.06434634038800706,0.06542107583774251,0.12166556437389771,0.10832782186948854,0.11480379188712522,0.06696428571428571,0.08562059082892416,0.051669973544973546,0.04918981481481482,0.015928130511463846,0.012566137566137565,0.004409171075837742,0.0023148148148148147,0.0010471781305114638,0.0009369488536155202,122495,0.052540920037552556,0.054092003755255316,0.060484101391893544,0.03631984978978734,0.024303032776848036,0.009984080982897261,0.008881995183476876,0.03316053716478223,0.06601085758602392,0.05746356994163027,0.055292052736846405,0.05933303400138781,0.06214947548879546,0.0663618923221356,0.07649291807828891,0.02849912241315972,0.04150373484632026,0.026980693089513858,0.03734029960406547,0.05045920241642516,0.0375443895669211,0.025413282174782646,0.029388954651210254,90.0,74.67777777777778,15.577878133464568,28.0,64.25,75.5,87.0,99.0,90.0,7.333333333333333,1.9602797323885894,2.0,6.0,7.5,9.0,10.0,2.0,0.0,0.0
7,Bradford County,60721,0.9634558060638,0.0067027881622502925,0.0007740320482205498,0.0062087251527478135,0.0009222509510712933,0.005138255298825777,0.01679814232308427,0.004578317221389634,0.012219825101694635,59944,7532,48998,0.572615208784032,0.5725335727988897,0.5453691987428059,0.02716437405608392,8.163598514225071e-05,0.427384791215968,28175.0,43002,0.008929817217803823,0.013045904841635272,0.43242174782568255,0.039370261848286126,0.08690293474722106,0.11757592670108367,0.05011394818845635,0.013790056276452259,0.005185805311380866,1.0,2670.0,1148.0,1522.0,22414.0,5934.0,16480.0,30691,0.8173080056042488,0.1826919943957512,25084,0.7274756817094562,0.2725243182905438,30691,0.018148642924635888,0.016193672412107785,0.07191033201915871,0.12270698250301391,0.10188654654458962,0.1594930109804177,0.0728552344335473,0.06187481672151445,0.04333517969437294,0.33159558176664167,18248,0.021536606751424815,0.010740903112669882,0.012823323103901798,0.00794607628233231,0.007124068391056554,0.0076720736519070585,0.006411661551950899,0.016330556773345023,0.022687417799210872,0.03677115300306883,0.034469530907496715,0.0524989039894783,0.03611354669004822,0.11579351161771154,0.10680622533976326,0.11754712845243315,0.07661113546690049,0.10247698377904428,0.07688513809732574,0.07409031126698816,0.019344585708022798,0.02241341516878562,0.006137658921525646,0.005808855765015344,0.000657606313020605,0.0023016220955721176,60721,0.05941931127616475,0.05877702936381153,0.06569391149684622,0.03609953722764776,0.019004957098862008,0.01004594785988373,0.010424729500502298,0.03234465835542893,0.055960870209647406,0.054297524744322395,0.056767839791834786,0.04596432865071392,0.05989690551868382,0.06839478928212644,0.0827061477907149,0.028688592085110588,0.04227532484642875,0.03063190658915367,0.03743350735330446,0.05113552148350653,0.03764760132408886,0.025164275950659575,0.031224782200556644,53.0,63.62264150943396,9.851252195092801,44.0,55.0,63.0,69.0,88.0,53.0,5.981132075471698,1.3371980757386213,3.0,5.0,6.0,7.0,9.0,0.0,0.0,0.0
8,Bucks County,627668,0.856975343653014,0.03894574838927586,0.0009208689944365493,0.04814328594097517,0.0002565050313222914,0.02091392264700447,0.03384432534397165,0.01076683851972699,0.023077486824244663,618837,34888,516530,0.6736762627533734,0.6728360405010357,0.6448086267980563,0.0280274137029795,0.0008402222523377151,0.3263237372466265,47331.06971153846,449978,0.007971500828929414,0.01278062483054727,0.2576281507095902,0.022336647569436728,0.07935054602669464,0.2511722795336661,0.12558613976683305,0.02607905275369018,0.01949873104907351,1.0,14136.0,7517.0,6619.0,226627.0,45663.0,180964.0,251373,0.9577918073937933,0.042208192606206715,240763,0.780697200151186,0.21930279984881398,251373,0.018546144573999595,0.014301456401443273,0.09301714981322576,0.13669328050347493,0.14239795045609513,0.16455625703635632,0.12204572487896473,0.17148221964968394,0.03218324959323396,0.10477656709352237,187963,0.006767289306938068,0.0023674872182291194,0.002771822113926677,0.002825024073886882,0.002952708777791374,0.001649260758766353,0.0018461080106191112,0.0028303442698829023,0.0028090634858988204,0.003521969749365567,0.0019152705585673776,0.00226108329830871,0.002175960162372382,0.010411623564212106,0.013960194293557774,0.03332570771907237,0.04119427759718668,0.13046184621441453,0.1321111069731809,0.25158674845581314,0.15341317174124694,0.14115544016641574,0.03558679101738108,0.012582263530588467,0.002633497018030144,0.004883939924346813,627668,0.048297826239349466,0.054148052792240484,0.06186710171619391,0.03962923073981787,0.02191126519115201,0.010011662216330926,0.010018035012140176,0.03721234792916,0.054517674949176954,0.05650598724166279,0.05869504260213999,0.05867911061261686,0.06713581065149092,0.07614853712472198,0.08376402811677511,0.030438065983927808,0.04418418654447893,0.02562501194899214,0.032440717066984454,0.048673821192095186,0.030266000497078074,0.02574450187041557,0.024085981761058393,339.0,28.72566371681416,14.404088703479413,4.0,18.0,28.0,38.0,97.0,339.0,2.0825958702064895,1.3095996448102094,1.0,1.0,2.0,3.0,10.0,4.0,1.0,0.0
9,Butler County,187798,0.9545682062641775,0.01011192877453434,0.0004792383305466512,0.012976709017135433,9.0522795769923e-05,0.002923353816334572,0.018850041001501613,0.002422816004430292,0.016427224997071322,182413,13579,154734,0.6351157470239249,0.6341463414634146,0.6050771000555792,0.029069241407835383,0.0009694055605102951,0.3648842529760751,38973.56923076923,134209,0.004351422035780015,0.008188720577606569,0.28901936531827227,0.02865679648905811,0.10328666482873727,0.24128039103189802,0.10127487724370199,0.016794700802479714,0.015788807009962075,1.0,6984.0,3644.0,3340.0,70741.0,15588.0,55153.0,84106,0.9241314531662426,0.0758685468337574,77725,0.7602701833386941,0.23972981666130588,84106,0.04130501985589613,0.026716286590730744,0.13492497562599576,0.15916819251896416,0.10912420041376358,0.1389556036430219,0.08656932917984449,0.09901790597579245,0.05006777162152522,0.15415071457446555,59092,0.016838150680295132,0.008749069247952346,0.004619914709266906,0.005466052934407365,0.004873756176809044,0.005686048872943884,0.0032491707845393623,0.010018276585663033,0.013368983957219251,0.00989981723414337,0.015975089690651863,0.030579435456576185,0.016178162864685576,0.06647261896703445,0.06327421647600352,0.10830569281797875,0.0717186759629053,0.13264062817301833,0.10976105056522033,0.14851418127665336,0.07381709876125364,0.05464360657957084,0.01668584579976985,0.0056183578149326474,0.0019461179178230557,0.0010999796926825967,187798,0.0508578366116785,0.053781190428013076,0.0582860307351516,0.0371675949690625,0.028376234038701157,0.011831861894162876,0.011065080565288236,0.033988647376436386,0.0551976059382954,0.057865365978338426,0.060160385094622945,0.058983588749613944,0.06667270151971799,0.07350451016517748,0.07863236030202665,0.03320056656620411,0.04278000830679773,0.02711956463860105,0.03700252398854088,0.043381718655150746,0.029297436607418608,0.021443252856792938,0.029403934014206753,106.0,51.81132075471698,18.7551202951784,11.0,39.25,50.0,64.75,99.0,106.0,4.518867924528302,2.2854868485228463,1.0,3.0,4.0,6.0,10.0,2.0,0.0,0.0
