,county_name,perc_csec,perc_prenat_1tri,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_date_35_39,gono_per_100000,perc_smoker,hiv_tested,perc_no_healthins,perc_obese,beds_per_1000,population_White,population_Black,population_Native,population_Asian,population_OtherRace,ADI_STATERNK_INT_mean,program_perc_prenat_1tri_investment_pct,whetherinvestment_in_prog_perc_prenat_1tri,program_perc_csec_investment_pct,whetherinvestment_in_prog_perc_csec,program_perc_smoker_investment_pct,whetherinvestment_in_prog_perc_smoker,program_perc_no_healthins_investment_pct,whetherinvestment_in_prog_perc_no_healthins
0,Potter,35.9,77.8,27.7,145.7,135.1,81.7,29.4,75.71931034482746,21.0,33.0,8.0,36.0,1.5,97.09319748276896,0.34162421336529,0.17380881030866,0.41953850764159,0.29967036260113,8.222222222222221,0.0,0.0,0.6834942054191996,1.0,0.0,0.0,0.3165057945808004,1.0
1,Wyoming,32.4,71.2,16.3,83.4,108.6,95.1,37.2,75.71931034482746,24.0,45.0,11.0,29.0,0.4,93.1014107393456,1.80589408375803,0.16987960706108,0.43577812246103,0.32498707437772,5.318181818181818,0.40449438202247184,1.0,0.5425421623139162,1.0,0.0,0.0,0.0,0.0
2,Lehigh,29.9,73.9,19.8,70.9,104.0,105.2,49.3,102.8,18.0,45.0,6.0,32.0,4.7,76.15193636378486,7.26878242926133,0.32885244652064,3.33180885179317,6.02061316825376,4.940366972477064,0.3119239228314685,1.0,0.0,0.0,0.0,0.0,0.6880760771685315,1.0
3,Indiana,24.0,65.7,9.5,41.8,128.1,98.0,38.7,34.7,21.0,37.0,8.0,39.0,2.0,94.0838000071037,2.26016125404023,0.0651172702840199,0.92821708913962,0.4558208919881999,7.158730158730159,0.0,0.0,0.7121484756635322,1.0,0.0,0.0,0.0,0.0
4,Schuylkill,32.1,67.6,20.9,88.7,114.6,90.6,36.6,34.5,17.0,45.0,7.0,34.0,1.7,93.04611265720224,2.98939655476098,0.16486419840067,0.42131961813506,1.26818614154366,7.559322033898305,0.0,0.0,0.8373340277618113,1.0,0.0,0.0,0.0,0.0
5,Pike,33.2,68.1,9.6,48.3,105.2,102.7,42.2,25.7,19.0,42.0,10.0,35.0,0.0,86.15343154868846,6.1588214157384105,0.07725476104922,1.26122888968738,2.199065756378,3.95,0.0,0.0,0.7594905769062927,1.0,0.0,0.0,0.0,0.0
6,Allegheny,29.7,86.9,10.8,46.1,75.7,105.7,58.0,157.7,18.0,45.0,6.0,30.0,3.8,79.03371690277254,12.99569920714391,0.11794349874423,3.92324233818677,0.8208440716361,5.867154811715481,0.10236514709767523,1.0,0.0,0.0,0.0,0.0,0.8976348529023247,1.0
7,Tioga,33.1,77.9,19.6,89.9,116.7,83.1,34.5,12.3,21.0,33.0,8.0,36.0,0.6,96.86449618489168,0.83417159400377,0.0785102676709399,0.59128045339679,0.3508427586545299,6.571428571428571,0.0,0.0,0.44569938604362647,1.0,0.0,0.0,0.5543006139563736,1.0
8,Philadelphia,29.0,61.0,26.4,73.9,72.1,83.3,52.4,454.0,21.0,67.0,12.0,34.0,2.8,39.33068653096271,41.35815232202214,0.33227296840845,7.415219809159599,7.27067632566165,6.2962633451957295,0.0,0.0,0.9763634941824981,1.0,0.0,0.0,0.0,0.0
9,Lycoming,32.5,78.9,18.1,77.4,108.4,89.7,35.2,49.0,21.0,33.0,8.0,36.0,2.3,91.14143877067728,4.76169593207851,0.14471906958794,0.76218709982984,0.37539249565842,6.111111111111111,0.0,0.0,0.589186881266356,1.0,0.0,0.0,0.41081311873364407,1.0
10,McKean,32.8,77.0,22.3,94.8,119.7,73.3,24.7,13.0,27.0,35.0,10.0,41.0,0.0,94.21272031398551,2.39633358523683,0.13651544330952,0.41929743302211,0.97998586090051,8.636363636363637,0.0,0.0,0.5596282614036767,1.0,0.0,0.0,0.44037173859632334,1.0
11,Northumberland,28.8,70.1,24.5,104.6,115.0,87.9,34.4,33.9,15.0,31.0,13.0,34.0,0.7,93.7008132932898,2.4694740995681403,0.13372207729574,0.36609158866212,1.02812547953613,7.473684210526316,0.0,0.0,0.6543981697393403,1.0,0.0,0.0,0.0,0.0
12,Lackawanna,35.2,75.1,16.9,60.6,92.2,98.3,49.4,46.6,24.0,45.0,11.0,29.0,3.1,89.22593047268298,2.81687460149789,0.06709110115054,2.95962162522244,1.08582902713145,6.412121212121212,0.0,0.0,0.751963640288579,1.0,0.0,0.0,0.0,0.0
13,Erie,36.4,80.3,19.9,74.6,100.5,93.1,40.2,112.0,20.0,43.0,8.0,29.0,3.4,85.60831624063577,7.148423428390779,0.24591429390617,1.83057277078141,1.32918697573204,6.888888888888889,0.0,0.0,0.8150390662748704,1.0,0.0,0.0,0.0,0.0
14,Mifflin,23.4,62.6,23.0,135.1,153.9,101.9,44.0,30.3,19.0,37.0,7.0,34.0,2.7,96.34682431408216,0.57601940275882,0.25119643127828,0.35947075510513,0.54786807856384,7.566666666666666,0.0,0.0,0.9954670067073654,1.0,0.0,0.0,0.0,0.0
15,Elk,30.7,85.1,18.5,85.0,152.0,106.9,31.6,75.71931034482746,27.0,35.0,10.0,41.0,1.2,97.23044186587758,0.64501113807893,0.0897695913821099,0.46879675499551,0.05984639425474,7.76,0.0,0.0,0.29734421009647094,1.0,0.0,0.0,0.7026557899035291,1.0
