county_name,population,pop_change_2010,perc_under_18,perc_csec,perc_lowbirth,perc_prenat_1tri,perc_preterm,perc_non_smoke,fert_15_44,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_date_35_39,birth_rate_40_44,all_cause_death,chlam_per_100000,gono_per_100000,perc_smoker,hiv_tested,perc_no_healthins,perc_obese,perc_routine_checkup,beds_per_1000,inpatient_occupancy_rate,admission_per_1000,goals_met,population_White,population_Black,population_Native,population_Asian,population_NativeHawaiian_PacificIslander,population_OtherRace,population_Multiracial,perc_poverty,perc_below_poverty,perc_unemployed,per_capita_income,perc_educated,perc_foodstamp,perc_disability,perc_vacant_housing,perc_rented,perc_pre200_houses,perc_ownHouse_occupied,perc_age_under5,perc_age_5_17,perc_age_18_24,perc_age_25_39,perc_age_40_64,perc_age_over65,adi_staterank_mean
Adams,103009.0,1.6,19.9,29.5,7.8,75.6,9.6,87.7,55.7,14.3,59.8,122.0,98.1,42.0,8.0,710.8,195.0,34.1,17.0,39.0,14.0,32.0,83.0,0.7,62.5,46.5,2,0.9280014031395248,0.0159119919709238,0.0015005797694563,0.0070546737213403,0.0,0.0224210003215528,0.0251103510772019,0.9593771619554308,0.0762177594590117,0.8222689935397117,32981.970588235294,0.7047950344451265,0.0284622954972862,0.105576505208181,1.6019901838701234e-06,0.221510043403654,1.9097249223318845e-05,0.7254556143445032,0.0496165726368304,0.1517242051312032,0.0938641877868396,0.1621892874194898,0.3391115398481877,0.1716312471376924,3.627906976744186
Allegheny,1216045.0,-0.6,18.8,29.7,8.5,86.9,9.6,90.8,55.1,10.8,46.1,75.7,105.7,58.0,10.7,783.2,469.8,157.7,18.0,45.0,6.0,30.0,89.0,3.8,72.7,170.0,1,0.7903371690277253,0.1299569920714391,0.0011794349874423,0.0392324233818677,0.0004210509036589,0.008208440716361,0.0306644889115054,0.9738907401631676,0.1100444853001526,0.8335724486613372,38642.74403056352,0.725132553062263,0.0536367964017794,0.1108857663454751,1.5629708658810194e-07,0.357161051503129,1.5284411715520143e-06,0.5823118907864333,0.0525295884699354,0.13484709204025,0.0874907664275512,0.2157019977346967,0.320043828690556,0.1631756923127429,5.867154811715481
Armstrong,64735.0,-6.1,19.0,33.7,8.0,75.0,9.0,79.6,57.8,19.8,89.6,120.1,88.7,32.1,4.7,824.3,179.9,36.3,21.0,37.0,8.0,39.0,89.0,2.2,31.3,59.7,0,0.9733000795642328,0.0086602607258706,0.0002448130240528,0.0030754636146643,0.0,0.0013311708182875,0.0133882122528918,0.98925882856968,0.1107472917559214,0.8330375175959361,28581.848484848484,0.7400697717118551,0.0646306383499602,0.1419915539506701,4.463268543339919e-06,0.2222222222222222,2.778956822749653e-05,0.6637343236332643,0.0474325234102454,0.1440724646551195,0.0684252402227796,0.1577054899320643,0.3605636819878814,0.192423036905563,7.484848484848484
Beaver,163929.0,-3.9,19.1,33.7,7.4,79.6,9.0,83.5,58.5,15.4,69.6,108.4,103.1,40.6,7.0,837.6,343.8,101.3,21.0,40.0,8.0,34.0,86.0,1.7,48.2,69.3,1,0.8972939841365206,0.0592847476347394,0.0009102991242922,0.0046061135689187,0.0003095017022593,0.0038475309653418,0.0337478228679277,0.9843064430972016,0.0965523937832638,0.8294766993767485,31901.56204379562,0.7338467420394341,0.0578343376967004,0.1296265952992153,1.184226830716793e-06,0.2703437560691396,1.1495730793046695e-05,0.660886828250845,0.0502849236259034,0.1433963867193424,0.0724719476153195,0.1817928037819893,0.3375207093050772,0.1876187181774596,6.663934426229508
Bedford,47888.0,-3.8,19.2,27.5,5.7,77.9,7.2,83.3,62.2,18.0,103.3,134.2,95.4,32.3,6.6,752.0,136.3,13.8,19.0,37.0,7.0,34.0,88.0,0.5,42.9,23.9,1,0.9733770818623584,0.0103210532873696,0.0012875358225692,0.0023881712837978,0.0,0.0013498359430161,0.0112763218008888,0.9853179382813474,0.1100012460024089,0.8319973418615276,26743.11904761905,0.731652614528388,0.0480333928645595,0.1301034181999418,7.51338105883351e-06,0.2060210737581535,3.607094495373833e-05,0.6483917230075804,0.0495493624621007,0.1453669477094321,0.0734310753000787,0.1542343315197074,0.3500228433774969,0.1980105494870622,6.947368421052632
Berks,421164.0,2.4,22.3,29.7,8.2,80.3,9.8,91.6,60.5,20.2,75.4,115.4,98.7,44.1,9.7,729.8,486.7,86.6,17.0,45.0,7.0,34.0,83.0,2.1,62.6,98.8,1,0.8001202685998731,0.0523502488891858,0.0034147691749669,0.0145754088893767,0.0002410144560948,0.0663338599061714,0.0629644300843312,0.968842319274952,0.1133865633247586,0.8035612868740186,31917.60070671378,0.6809350406383781,0.0488567324166829,0.1047052703418587,3.9645856205437577e-07,0.2896623164033276,5.18892093361703e-06,0.6631624819418078,0.0574545055385599,0.1661735017730072,0.0954369520500544,0.17817172637939,0.3302518481752101,0.149968262452811,6.030150753768845
Blair,121829.0,-4.1,20.2,25.4,6.8,79.4,8.0,80.4,58.5,20.8,90.4,108.7,89.9,32.9,6.4,850.8,314.6,57.6,19.0,37.0,7.0,34.0,88.0,3.4,63.0,172.9,2,0.951826605167558,0.0182048246867219,0.001453120535532,0.0059022817257847,0.0004408343197681,0.0020408996285562,0.020131433936079,0.9766112902567452,0.134568757908486,0.8229315482264582,28530.526785714286,0.7202334789175069,0.0701742928282787,0.1295726356177803,1.6375699288284306e-06,0.29738416558561,1.5974705786043422e-05,0.6370786516853932,0.0525409200375525,0.1508959549369361,0.0763296461080042,0.1787664802645005,0.3343401771500876,0.1801461284134044,7.333333333333333
Bradford,60323.0,-3.7,21.8,28.8,6.3,80.2,8.6,81.1,68.6,27.6,121.2,137.1,86.8,33.0,6.1,779.1,187.4,17.0,21.0,33.0,8.0,36.0,89.0,5.4,55.8,267.0,2,0.9634558060638,0.0067027881622502,0.0007740320482205,0.0062087251527478,0.0009222509510712,0.0051382552988257,0.0167981423230842,0.9872037680538858,0.1240427529190889,0.8069366446534147,28175.0,0.7081899178208527,0.0439716078457205,0.1166318077765517,5.952624365310717e-06,0.2725243182905438,2.9120828667821105e-05,0.594571698543547,0.0594193112761647,0.1605704780883054,0.0718202928146768,0.1670262347458043,0.3279260881737781,0.1826056883121158,5.981132075471698
Bucks,628270.0,0.5,20.2,35.1,7.7,76.1,9.1,92.5,53.5,5.3,31.9,88.8,128.9,60.8,11.0,695.4,244.1,46.1,13.0,44.0,7.0,28.0,89.0,1.4,65.3,77.1,3,0.856975343653014,0.0389457483892758,0.0009208689944365,0.0481432859409751,0.0002565050313222,0.0209139226470044,0.0338443253439716,0.9859304600521296,0.0555835250482739,0.822935054837908,47331.06971153846,0.7169044781636151,0.0225214603898876,0.0847263202839717,1.679106053800794e-07,0.2193027998488139,3.47744288054537e-06,0.7477453823600785,0.0482978262393494,0.1556443852482521,0.079153310348783,0.1697187047929794,0.3603497390340114,0.1612110223876313,2.082595870206489
Butler,187853.0,2.2,19.8,30.1,6.0,82.2,8.2,88.0,54.1,8.4,43.8,104.7,122.1,49.4,7.4,761.5,226.7,32.3,21.0,40.0,8.0,34.0,86.0,1.6,54.8,64.4,3,0.9545682062641776,0.0101119287745343,0.0004792383305466,0.0129767090171354,9.0522795769923e-05,0.0029233538163345,0.0188500410015016,0.971325573222292,0.0723064143388108,0.8239384870978391,38973.56923076923,0.7146455233815057,0.0371888944504201,0.1024079063674799,9.020586739799468e-07,0.2397298166613058,9.47677594853372e-06,0.7025895893277531,0.0508578366116785,0.1492348161322271,0.0852618238745884,0.1732233570112567,0.3537737356095375,0.1605288661221097,4.518867924528302
