Neighborhood,EconomicStatus
Allegheny Center,Low Disadvantage
Allegheny West,Low Disadvantage
Allentown,High Disadvantage
Arlington,High Disadvantage
Arlington Heights,High Disadvantage
Banksville,Very Low Disadvantage
Bedford Dwellings,Extreme Disadvantage
Beechview,Low Disadvantage
Beltzhoover,High Disadvantage
Bloomfield,Low Disadvantage
Bluff,Extreme Disadvantage
Bon Air,High Disadvantage
Brighton Heights,Moderate Disadvantage
Brookline,Low Disadvantage
California-Kirkbride,Extreme Disadvantage
Carrick,Moderate Disadvantage
Central Business District,Low Disadvantage
Central Lawrenceville,Low Disadvantage
Central Northside,Moderate Disadvantage
Central Oakland,Moderate Disadvantage
Chartiers City,Moderate Disadvantage
Chateau,
Crafton Heights,High Disadvantage
Crawford-Roberts,Extreme Disadvantage
Duquesne Heights,Low Disadvantage
East Allegheny,Moderate Disadvantage
East Carnegie,Moderate Disadvantage
East Hills,Extreme Disadvantage
East Liberty,Moderate Disadvantage
Elliott,High Disadvantage
Esplen,High Disadvantage
Fairywood,Moderate Disadvantage
Fineview,Extreme Disadvantage
Friendship,Low Disadvantage
Garfield,High Disadvantage
Glen Hazel,High Disadvantage
Greenfield,Very Low Disadvantage
Hays,High Disadvantage
Hazelwood,High Disadvantage
Highland Park,Low Disadvantage
Homewood North,Extreme Disadvantage
Homewood South,Extreme Disadvantage
Homewood West,Extreme Disadvantage
Knoxville,Extreme Disadvantage
Larimer,Extreme Disadvantage
Lincoln Place,Moderate Disadvantage
Lincoln-Lemington-Belmar,High Disadvantage
Lower Lawrenceville,Low Disadvantage
Manchester,High Disadvantage
Marshall-Shadeland,High Disadvantage
Middle Hill,Extreme Disadvantage
Morningside,Low Disadvantage
Mount Washington,Moderate Disadvantage
Mt. Oliver,High Disadvantage
New Homestead,Very Low Disadvantage
North Oakland,Low Disadvantage
North Shore,Moderate Disadvantage
Northview Heights,Extreme Disadvantage
Oakwood,Moderate Disadvantage
Overbrook,Moderate Disadvantage
Perry North,Moderate Disadvantage
Perry South,High Disadvantage
Point Breeze,Very Low Disadvantage
Point Breeze North,Moderate Disadvantage
Polish Hill,Low Disadvantage
Regent Square,Very Low Disadvantage
Ridgemont,Low Disadvantage
Shadyside,Very Low Disadvantage
Sheraden,High Disadvantage
South Oakland,High Disadvantage
South Shore,
South Side Flats,Low Disadvantage
South Side Slopes,Low Disadvantage
Spring Garden,Moderate Disadvantage
Spring Hill-City View,High Disadvantage
Squirrel Hill North,Very Low Disadvantage
Squirrel Hill South,Very Low Disadvantage
St. Clair,High Disadvantage
Stanton Heights,Low Disadvantage
Strip District,Very Low Disadvantage
Summer Hill,Low Disadvantage
Swisshelm Park,Very Low Disadvantage
Terrace Village,Extreme Disadvantage
Troy Hill,Moderate Disadvantage
Upper Hill,High Disadvantage
Upper Lawrenceville,Moderate Disadvantage
West End,High Disadvantage
West Oakland,Extreme Disadvantage
Westwood,Low Disadvantage
Windgap,Moderate Disadvantage
