county_name,population,pop_change_2010,perc_under_18,perc_csec,perc_lowbirth,perc_prenat_1tri,perc_preterm,perc_non_smoke,fert_15_44,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_date_35_39,birth_rate_40_44,all_cause_death,chlam_per_100000,gono_per_100000,perc_smoker,hiv_tested,perc_no_healthins,perc_obese,perc_routine_checkup,beds_per_1000,inpatient_occupancy_rate,admission_per_1000,Total_MetGoals,MetGoal_Reached
Clinton,38632.0,-1.5,19.5,27.3,6.8,68.8,8.8,82.9,52.5,15.2,50.3,137.2,91.0,37.6,8.6,777.6,231.3,25.8,21.0,33.0,8.0,36.0,89.0,0.6,27.9,19.0,2.0,1
Tioga,40591.0,-3.3,19.6,33.1,5.7,77.9,7.4,79.9,58.5,19.6,89.9,116.7,83.1,34.5,4.8,743.8,171.1,12.3,21.0,33.0,8.0,36.0,89.0,0.6,58.4,35.4,1.0,1
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Wyoming,26794.0,-5.2,19.4,32.4,7.4,71.2,10.6,76.9,56.8,16.3,83.4,108.6,95.1,37.2,6.0,885.1,155.2,,24.0,45.0,11.0,29.0,89.0,0.4,20.8,12.2,2.0,1
Potter,16526.0,-5.3,20.3,35.9,6.2,77.8,11.3,78.7,68.9,27.7,145.7,135.1,81.7,29.4,,764.6,178.2,,21.0,33.0,8.0,36.0,89.0,1.5,49.2,91.8,2.0,1
Bradford,60323.0,-3.7,21.8,28.8,6.3,80.2,8.6,81.1,68.6,27.6,121.2,137.1,86.8,33.0,6.1,779.1,187.4,17.0,21.0,33.0,8.0,36.0,89.0,5.4,55.8,267.0,3.0,1
Sullivan,6066.0,-5.6,10.4,32.6,6.9,76.3,8.2,77.2,58.3,25.0,74.1,124.6,88.5,29.1,,843.4,532.2,,21.0,33.0,8.0,36.0,89.0,0.0,,0.0,2.0,1
Cambria,130192.0,-9.4,19.1,24.6,8.8,78.8,10.2,78.3,57.9,18.0,72.4,126.4,98.3,35.6,6.8,881.9,258.2,59.0,21.0,37.0,8.0,39.0,89.0,3.9,45.7,136.0,1.0,1
Beaver,163929.0,-3.9,19.1,33.7,7.4,79.6,9.0,83.5,58.5,15.4,69.6,108.4,103.1,40.6,7.0,837.6,343.8,101.3,21.0,40.0,8.0,34.0,86.0,1.7,48.2,69.3,2.0,1
Bucks,628270.0,0.5,20.2,35.1,7.7,76.1,9.1,92.5,53.5,5.3,31.9,88.8,128.9,60.8,11.0,695.4,244.1,46.1,13.0,44.0,7.0,28.0,89.0,1.4,65.3,77.1,3.0,1
Montour,18230.0,-0.2,20.2,25.0,7.6,71.9,10.4,91.1,68.8,11.1,83.4,109.0,123.3,56.3,8.5,746.2,400.1,36.5,15.0,31.0,13.0,34.0,83.0,30.3,71.3,1523.7,1.0,1
Tioga,40591.0,-3.3,19.6,33.1,5.7,77.9,7.4,79.9,58.5,19.6,89.9,116.7,83.1,34.5,4.8,743.8,171.1,12.3,21.0,33.0,8.0,36.0,89.0,0.6,58.4,35.4,1.0,1
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
Union,44923.0,-0.1,17.7,27.6,5.5,67.8,7.2,90.3,51.6,9.3,49.0,115.4,108.3,48.8,10.6,577.9,173.5,23.1,15.0,31.0,13.0,34.0,83.0,2.9,36.0,125.6,3.0,1
Forest,7247.0,-6.1,10.2,36.8,9.0,78.1,8.2,79.1,50.6,,76.4,105.7,82.3,,,803.9,132.9,,27.0,35.0,10.0,41.0,86.0,0.0,,0.0,1.0,1
Armstrong,64735.0,-6.1,19.0,33.7,8.0,75.0,9.0,79.6,57.8,19.8,89.6,120.1,88.7,32.1,4.7,824.3,179.9,36.3,21.0,37.0,8.0,39.0,89.0,2.2,31.3,59.7,1.0,1
Bradford,60323.0,-3.7,21.8,28.8,6.3,80.2,8.6,81.1,68.6,27.6,121.2,137.1,86.8,33.0,6.1,779.1,187.4,17.0,21.0,33.0,8.0,36.0,89.0,5.4,55.8,267.0,3.0,1
