county_name,pop_change_2010,perc_under_18,perc_nosmoke_moms,fert_rate,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_rate_35_39,birth_rate_40_44,clam_per_100000,gono_per_100000,perc_hiv_tested,perc_no_insur,perc_obese,perc_routine_checkup,beds_per_1000,adm_per_1000
Adams,1.6,19.9,29.5,7.8,75.6,9.6,87.7,55.7,14.3,59.8,122.0,98.1,42.0,8.0,710.8,195.0,34.1,17.0
Allegheny,-0.6,18.8,29.7,8.5,86.9,9.6,90.8,55.1,10.8,46.1,75.7,105.7,58.0,10.7,783.2,469.8,157.7,18.0
Armstrong,-6.1,19.0,33.7,8.0,75.0,9.0,79.6,57.8,19.8,89.6,120.1,88.7,32.1,4.7,824.3,179.9,36.3,21.0
Beaver,-3.9,19.1,33.7,7.4,79.6,9.0,83.5,58.5,15.4,69.6,108.4,103.1,40.6,7.0,837.6,343.8,101.3,21.0
Bedford,-3.8,19.2,27.5,5.7,77.9,7.2,83.3,62.2,18.0,103.3,134.2,95.4,32.3,6.6,752.0,136.3,13.8,19.0
Berks,2.4,22.3,29.7,8.2,80.3,9.8,91.6,60.5,20.2,75.4,115.4,98.7,44.1,9.7,729.8,486.7,86.6,17.0
Blair,-4.1,20.2,25.4,6.8,79.4,8.0,80.4,58.5,20.8,90.4,108.7,89.9,32.9,6.4,850.8,314.6,57.6,19.0
Bradford,-3.7,21.8,28.8,6.3,80.2,8.6,81.1,68.6,27.6,121.2,137.1,86.8,33.0,6.1,779.1,187.4,17.0,21.0
Bucks,0.5,20.2,35.1,7.7,76.1,9.1,92.5,53.5,5.3,31.9,88.8,128.9,60.8,11.0,695.4,244.1,46.1,13.0
Butler,2.2,19.8,30.1,6.0,82.2,8.2,88.0,54.1,8.4,43.8,104.7,122.1,49.4,7.4,761.5,226.7,32.3,21.0
Cambria,-9.4,19.1,24.6,8.8,78.8,10.2,78.3,57.9,18.0,72.4,126.4,98.3,35.6,6.8,881.9,258.2,59.0,21.0
Cameron,-12.5,17.3,34.0,.,85.5,6.9,65.8,60.0,24.8,105.2,113.2,96.3,22.6,.,713.9,147.8,.,27.0
Carbon,-1.6,19.2,29.8,8.4,74.9,9.4,79.0,56.1,17.8,84.8,112.1,82.9,36.9,7.2,854.6,173.7,39.0,18.0
Centre,5.5,14.7,24.7,6.1,76.6,7.4,92.0,31.7,2.8,13.7,65.1,93.5,49.4,9.6,572.7,476.6,38.9,15.0
Chester,5.2,22.5,28.0,6.5,75.2,8.1,95.5,56.2,5.7,33.8,90.3,140.0,70.9,12.0,629.1,251.7,32.9,11.0
Clarion,-3.9,19.1,31.7,6.2,76.0,8.3,81.7,52.4,11.5,56.6,108.8,99.7,36.3,6.9,785.7,237.7,18.2,27.0
