,county_name,population,pop_change_2010,perc_under_18,perc_csec,perc_prenat_1tri,perc_non_smoke,fert_15_44,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_date_35_39,birth_rate_40_44,all_cause_death,chlam_per_100000,gono_per_100000,perc_smoker,hiv_tested,perc_no_healthins,perc_obese,perc_routine_checkup,beds_per_1000,inpatient_occupancy_rate,goals_met,population_White,population_Black,population_Native,population_Asian,population_NativeHawaiian_PacificIslander,population_OtherRace,ADI_STATERNK_INT_mean
0,Potter,16526.0,-5.3,20.3,35.9,77.8,78.7,68.9,27.7,145.7,135.1,81.7,29.4,,764.6,178.2,,21.0,33.0,8.0,36.0,89.0,1.5,49.2,0,0.9709319748276896,0.0034162421336529,0.0017380881030866,0.0041953850764159,0.0,0.0029967036260113,8.222222222222221
1,Wyoming,26794.0,-5.2,19.4,32.4,71.2,76.9,56.8,16.3,83.4,108.6,95.1,37.2,6.0,885.1,155.2,,24.0,45.0,11.0,29.0,89.0,0.4,20.8,0,0.931014107393456,0.0180589408375803,0.0016987960706108,0.0043577812246103,0.0,0.0032498707437772,5.318181818181818
2,Lehigh,369318.0,5.7,22.5,29.9,73.9,91.6,60.7,19.8,70.9,104.0,105.2,49.3,10.1,716.7,509.8,102.8,18.0,45.0,6.0,32.0,89.0,4.7,74.4,1,0.7615193636378486,0.0726878242926133,0.0032885244652064,0.0333180885179317,0.0003048963080323,0.0602061316825376,4.940366972477064
3,Indiana,84073.0,-5.4,17.6,24.0,65.7,85.0,48.0,9.5,41.8,128.1,98.0,38.7,7.6,791.7,390.5,34.7,21.0,37.0,8.0,39.0,89.0,2.0,42.1,3,0.940838000071037,0.0226016125404023,0.0006511727028402,0.0092821708913962,0.000165753051632,0.004558208919882,7.158730158730159
4,Schuylkill,141359.0,-4.7,19.7,32.1,67.6,77.0,59.0,20.9,88.7,114.6,90.6,36.6,7.2,915.8,235.7,34.5,17.0,45.0,7.0,34.0,83.0,1.7,65.2,0,0.9304611265720224,0.0298939655476098,0.0016486419840067,0.0042131961813506,9.863669989784057e-05,0.0126818614154366,7.559322033898305
5,Pike,55809.0,-2.7,17.2,33.2,68.1,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0,0.8615343154868846,0.0615882141573841,0.0007725476104922,0.0126122888968738,0.0005389867049946,0.02199065756378,3.95
6,Allegheny,1216045.0,-0.6,18.8,29.7,86.9,90.8,55.1,10.8,46.1,75.7,105.7,58.0,10.7,783.2,469.8,157.7,18.0,45.0,6.0,30.0,89.0,3.8,72.7,1,0.7903371690277253,0.1299569920714391,0.0011794349874423,0.0392324233818677,0.0004210509036589,0.008208440716361,5.867154811715481
7,Tioga,40591.0,-3.3,19.6,33.1,77.9,79.9,58.5,19.6,89.9,116.7,83.1,34.5,4.8,743.8,171.1,12.3,21.0,33.0,8.0,36.0,89.0,0.6,58.4,1,0.9686449618489168,0.0083417159400377,0.0007851026767094,0.0059128045339679,4.90689172943399e-05,0.0035084275865453,6.571428571428571
8,Philadelphia,1584064.0,3.8,21.6,29.0,61.0,93.7,58.1,26.4,73.9,72.1,83.3,52.4,13.1,854.4,1299.4,454.0,21.0,67.0,12.0,34.0,88.0,2.8,77.8,0,0.3933068653096271,0.4135815232202214,0.0033227296840845,0.074152198091596,0.0003717916373438,0.0727067632566165,6.2962633451957295
9,Lycoming,113299.0,-2.4,20.3,32.5,78.9,81.7,57.9,18.1,77.4,108.4,89.7,35.2,6.8,791.8,380.3,49.0,21.0,33.0,8.0,36.0,89.0,2.3,65.2,0,0.9114143877067729,0.0476169593207851,0.0014471906958794,0.0076218709982984,0.0003420632553896,0.0037539249565842,6.111111111111111
10,McKean,40625.0,-6.5,19.9,32.8,77.0,73.3,55.9,22.3,94.8,119.7,73.3,24.7,4.3,873.9,203.4,13.0,27.0,35.0,10.0,41.0,86.0,0.0,,1,0.9421272031398552,0.0239633358523683,0.0013651544330952,0.0041929743302211,0.0004875551546768,0.0097998586090051,8.636363636363637
11,Northumberland,90843.0,-3.9,19.3,28.8,70.1,77.9,62.7,24.5,104.6,115.0,87.9,34.4,6.7,828.5,262.5,33.9,15.0,31.0,13.0,34.0,83.0,0.7,21.3,2,0.937008132932898,0.0246947409956814,0.0013372207729574,0.0036609158866212,0.000284981476204,0.0102812547953613,7.473684210526316
12,Lackawanna,209674.0,-2.2,20.6,35.2,75.1,81.9,55.3,16.9,60.6,92.2,98.3,49.4,9.6,848.0,256.5,46.6,24.0,45.0,11.0,29.0,89.0,3.1,54.6,0,0.8922593047268298,0.0281687460149789,0.0006709110115054,0.0295962162522244,0.0005234057536567,0.0108582902713145,6.412121212121212
13,Erie,269728.0,-3.9,21.1,36.4,80.3,82.3,57.4,19.9,74.6,100.5,93.1,40.2,7.8,803.6,431.6,112.0,20.0,43.0,8.0,29.0,88.0,3.4,58.6,0,0.8560831624063577,0.0714842342839078,0.0024591429390617,0.0183057277078141,0.0002352543319879,0.0132918697573204,6.888888888888889
14,Mifflin,46138.0,-1.2,22.3,23.4,62.6,83.5,77.3,23.0,135.1,153.9,101.9,44.0,8.8,786.9,346.0,30.3,19.0,37.0,7.0,34.0,88.0,2.7,37.0,1,0.9634682431408216,0.0057601940275882,0.0025119643127828,0.0035947075510513,8.661945906147817e-05,0.0054786807856384,7.566666666666666
15,Elk,29910.0,-6.4,19.2,30.7,85.1,73.4,62.7,18.5,85.0,152.0,106.9,31.6,6.3,786.5,139.6,,27.0,35.0,10.0,41.0,86.0,1.2,57.5,1,0.9723044186587758,0.0064501113807893,0.0008976959138211,0.0046879675499551,0.0004987199521228,0.0005984639425474,7.76
16,Blair,121829.0,-4.1,20.2,25.4,79.4,80.4,58.5,20.8,90.4,108.7,89.9,32.9,6.4,850.8,314.6,57.6,19.0,37.0,7.0,34.0,88.0,3.4,63.0,2,0.951826605167558,0.0182048246867219,0.001453120535532,0.0059022817257847,0.0004408343197681,0.0020408996285562,7.333333333333333
17,Venango,50668.0,-7.8,18.7,30.2,75.7,70.8,60.7,25.5,102.9,123.9,79.5,34.7,5.7,797.5,279.8,29.9,26.0,33.0,8.0,35.0,87.0,3.1,53.7,1,0.9612501217018792,0.0112355174763898,0.0001168338039139,0.0035244864180702,0.0,0.0031739850063284,8.25
18,Forest,7247.0,-6.1,10.2,36.8,78.1,79.1,50.6,,76.4,105.7,82.3,,,803.9,132.9,,27.0,35.0,10.0,41.0,86.0,0.0,,1,0.7386648122392211,0.2162726008344923,0.0013908205841446,0.0009735744089012,0.0,0.017385257301808,8.5
19,Clarion,38438.0,-3.9,19.1,31.7,76.0,81.7,52.4,11.5,56.6,108.8,99.7,36.3,6.9,785.7,237.7,18.2,27.0,35.0,10.0,41.0,86.0,1.7,25.4,1,0.960758936660368,0.0149095333005461,0.0013201149276525,0.0037273833251365,0.0,0.0009577304377086,7.52
